File: linko
Build ID: 3c117b8e73d80f57f4457ea4f9a519a2425f4d07
Type: inuse_space
Time: 2026-08-02 16:26:54 EEST
Duration: 30s, Total samples = 1425.28kB 
Showing nodes accounting for -379.89kB, 26.65% of 1425.28kB total
      flat  flat%   sum%        cum   cum%
 -902.59kB 63.33% 63.33%  -902.59kB 63.33%  compress/flate.NewWriter (inline)
  522.70kB 36.67% 26.65%   522.70kB 36.67%  internal/bytealg.MakeNoZero
         0     0% 26.65%  -902.59kB 63.33%  bufio.(*Writer).Flush
         0     0% 26.65%  -902.59kB 63.33%  compress/gzip.(*Writer).Write
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/client_golang/prometheus/promhttp.HandlerForTransactional.func1
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentHandlerCounter.func1
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentMetricHandler.InstrumentHandlerInFlight.func1
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/common/expfmt.MetricFamilyToText
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/common/expfmt.MetricFamilyToText.func1
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/common/expfmt.NewEncoder.func7
         0     0% 26.65%  -902.59kB 63.33%  github.com/prometheus/common/expfmt.encoderCloser.Encode
         0     0% 26.65%   522.70kB 36.67%  main.(*server).handlerRedirect
         0     0% 26.65%  -379.89kB 26.65%  main.newServer.metricsMiddleware.func4
         0     0% 26.65%  -379.89kB 26.65%  main.newServer.newServer.requestLogger.func1.func2
         0     0% 26.65%  -379.89kB 26.65%  main.newServer.requestIdMiddleware.func3
         0     0% 26.65%  -379.89kB 26.65%  net/http.(*ServeMux).ServeHTTP
         0     0% 26.65%  -379.89kB 26.65%  net/http.(*conn).serve
         0     0% 26.65%  -379.89kB 26.65%  net/http.HandlerFunc.ServeHTTP
         0     0% 26.65%  -379.89kB 26.65%  net/http.serverHandler.ServeHTTP
         0     0% 26.65%   522.70kB 36.67%  strings.(*Builder).Grow
         0     0% 26.65%   522.70kB 36.67%  strings.(*Builder).grow
         0     0% 26.65%   522.70kB 36.67%  strings.Repeat
